% Boys Enrolled,% Complete Primary Schools,% Girls Enrolled,% Primary Schools with single classroom,% Primary Schools with single teacher,All Four Facilities,Any One Facility,Any Three Facilities,Any Two Facilities,Area (km²),Bomb Blasts Occurred,"Boundary wall, Building condition satisfactory, Drinking water and 2 more (clusters)",Boundary wall,Building condition satisfactory,MeasureGroup 1 Measures,Color By Measure Value,Show Sheet,Table of Contents,Other Factors Measure Value,Analysis Level Selector,Color By Measure Name,Complete Primary Schools,Country,City,Drinking water,Drone attacks in Pakistan,Education score,Educational Budget Spend of GDP,Electricity,Enrolment score,Gender parity score,Global Terrorism Index - Pakistan,Learning score,MeasureGroup 2 Measures,No Facility,Number of Records,Number of primary schools as % of total schools,Number of primary schools,Number of secondary schools as % of total schools,Number of secondary schools,Pakistan Economic Growth,Population,Primary Schools with single classroom,Primary Schools with single teacher,Province,Retention score,School infrastructure score,Terrorist Attacks Affectees,Toilet,Total number of schools,Year
54.77%,0.936599424,45.23%,0.034582133,0.028818444,17.06%,16.20%,24.73%,24.95%,768,41,Cluster 1,15.580736544,30.028328612,95.226371736,95.226371736,Year on Year Change,What are these scores? How they are Derived?,"5,379.0",AJK,Gender parity score,325,Pakistan,Bagh,30.878186969,24,64.894092934,2.59%,10.764872521,81.75,95.226371736,9.07,67.8,64.894092934,17.06%,1,0.577371048,347,0.422628952,254,3.70%,351415,12,10,AJK,14.8,24.929178470,5379,37.393767705,601,2013
62.50%,0.594202899,37.50%,0.359903382,0.045893720,15.25%,20.21%,17.38%,15.43%,1516,41,Cluster 1,25.284738041,48.519362187,87.501106285,87.501106285,Year on Year Change,What are these scores? How they are Derived?,"5,379.0",AJK,Gender parity score,246,Pakistan,Bhimber,30.523917995,24,74.483609905,2.59%,19.362186788,80.333333333,87.501106285,9.07,54.9,74.483609905,31.74%,1,0.695798319,414,0.304201681,181,3.70%,301633,149,19,AJK,75.2,28.883826879,5379,20.728929385,595,2013
86.63%,0.939068100,13.37%,0.021505376,0.039426523,5.35%,4.55%,16.31%,20.05%,,41,Cluster 1,7.971014493,13.768115942,63.366336634,63.366336634,Year on Year Change,What are these scores? How they are Derived?,"5,379.0",AJK,Gender parity score,262,Pakistan,Hattian,39.130434783,24,47.579084158,2.59%,7.608695652,78.75,63.366336634,9.07,48.2,47.579084158,53.74%,1,0.736147757,279,0.263852243,100,3.70%,,6,11,AJK,0,22.463768116,5379,43.840579710,379,2013
60.77%,0.827225131,39.23%,0.041884817,0.130890052,1.57%,22.44%,7.09%,12.20%,600,41,Cluster 1,3.208556150,6.417112299,89.234167894,89.234167894,Year on Year Change,What are these scores? How they are Derived?,"5,379.0",AJK,Gender parity score,158,Pakistan,Haveli,27.807486631,24,53.021041973,2.59%,1.604278075,80.75,89.234167894,9.07,42.1,53.021041973,56.69%,1,0.729007634,191,0.270992366,71,3.70%,150000,8,25,AJK,0,13.048128342,5379,26.203208556,262,2013
60.75%,0.592348285,39.25%,0.346965699,0.060686016,7.12%,23.06%,9.78%,13.60%,2162,41,Cluster 1,11.330698287,47.167325428,89.246913580,89.246913580,Year on Year Change,What are these scores? How they are Derived?,"5,379.0",AJK,Gender parity score,449,Pakistan,Kotli,17.127799736,24,69.428395062,2.59%,10.408432148,78.833333333,89.246913580,9.07,36.433333333,69.428395062,46.44%,1,0.731660232,758,0.268339768,278,3.70%,834094,263,46,AJK,73.2,20.184453228,5379,14.888010540,1036,2013
58.48%,0.582191781,41.52%,0.173515982,0.244292237,85.42%,1.28%,9.72%,2.30%,2310,41,Cluster 1,61.070559611,67.639902676,91.517415385,91.517415385,Year on Year Change,What are these scores? How they are Derived?,"5,379.0",AJK,Gender parity score,255,Pakistan,Mirpur,43.309002433,24,71.771020513,2.59%,50.608272506,76.833333333,91.517415385,9.07,47.533333333,71.771020513,1.28%,1,0.706451613,438,0.293548387,182,3.70%,754482,76,107,AJK,71.2,51.240875912,5379,33.576642336,620,2013
68.36%,0.940717629,31.64%,0.026521061,0.032761310,9.90%,10.83%,18.86%,24.33%,2496,41,Cluster 1,18.167701863,20.652173913,81.636892832,81.636892832,Year on Year Change,What are these scores? How they are Derived?,"5,379.0",AJK,Gender parity score,603,Pakistan,Muzaffarabad,33.385093168,24,55.988389875,2.59%,7.298136646,77.916666667,81.636892832,9.07,50.4,55.988389875,36.09%,1,0.718609865,641,0.281390135,251,3.70%,638973,17,21,AJK,14,24.068322981,5379,40.838509317,892,2013
80.78%,0.737327189,19.22%,0.184331797,0.078341014,4.08%,25.31%,13.47%,21.22%,,41,Cluster 1,13.488372093,29.767441860,69.220559669,69.220559669,Year on Year Change,What are these scores? How they are Derived?,"5,379.0",AJK,Gender parity score,160,Pakistan,Neelum,44.651162791,24,67.313473251,2.59%,4.651162791,74.666666667,69.220559669,9.07,55.366666667,67.313473251,35.92%,1,0.777777778,217,0.222222222,62,3.70%,,40,17,AJK,70,27.069767442,5379,42.790697674,279,2013
62.60%,0.846975089,37.40%,0.112099644,0.040925267,4.52%,25.43%,7.09%,15.53%,855,41,Cluster 1,4.416961131,17.667844523,87.403187061,87.403187061,Year on Year Change,What are these scores? How they are Derived?,"5,379.0",AJK,Gender parity score,476,Pakistan,Poonch,9.893992933,24,82.938296765,2.59%,1.413427562,78.75,87.403187061,9.07,77.6,82.938296765,47.43%,1,0.679564692,562,0.320435308,265,3.70%,411035,63,23,AJK,88,9.717314488,5379,15.194346290,827,2013
57.87%,0.707042254,42.13%,0.225352113,0.067605634,1.88%,26.02%,7.84%,14.11%,569,41,Cluster 1,3.125,61.647727273,92.126511420,92.126511420,Year on Year Change,What are these scores? How they are Derived?,"5,379.0",AJK,Gender parity score,251,Pakistan,Sudhnutti,8.806818182,24,74.764961188,2.59%,1.136363636,79.333333333,92.126511420,9.07,42,74.764961188,50.16%,1,0.718623482,355,0.281376518,139,3.70%,204091,80,24,AJK,85.6,16.647727273,5379,8.522727273,494,2013
100.00%,0.239631336,0.00%,0.188940092,0.571428571,35.94%,0.46%,54.38%,9.22%,12510,41,Cluster 1,41.509433962,5.660377358,46.863504843,46.863504843,Year on Year Change,What are these scores? How they are Derived?,"5,379.0",Balochistan,Gender parity score,52,Pakistan,Awaran,54.716981132,24,47.978376211,2.59%,0.943396226,85,46.863504843,9.07,22.45,47.978376211,0.00%,1,0.812734082,217,0.187265918,50,3.70%,118173,41,124,Balochistan,37.6,22.924528302,5379,11.792452830,267,2013
88.21%,0,11.79%,0.394316163,0.811722913,3.24%,31.57%,16.72%,48.46%,3514,41,Cluster 1,31.173380035,31.523642732,61.787738577,61.787738577,Year on Year Change,What are these scores? How they are Derived?,"5,379.0",Balochistan,Gender parity score,0,Pakistan,Barkhan,64.448336252,24,43.240684644,2.59%,16.462346760,30,61.787738577,9.07,18.775,43.240684644,0.00%,1,0.924466338,563,0.075533662,46,3.70%,103545,222,457,Balochistan,62.4,29.036777583,5379,1.576182137,609,2013
80.41%,0.342723005,19.59%,0.122065728,0.535211268,22.95%,2.46%,43.85%,30.74%,44748,41,Cluster 1,46.907216495,5.670103093,69.587660460,69.587660460,Year on Year Change,What are these scores? How they are Derived?,"5,379.0",Balochistan,Gender parity score,73,Pakistan,Chaghi,100,24,52.746915115,2.59%,6.185567010,47.5,69.587660460,9.07,31.1,52.746915115,0.00%,1,0.825581395,213,0.174418605,45,3.70%,300000,26,114,Balochistan,62.8,37.525773196,5379,28.865979381,258,2013
